benchmark,loop1_id,loop2_id,loop1_trip_count_known,loop1_trip_count,loop1_num_instructions,loop1_num_loads,loop1_num_stores,loop1_num_forward_contiguous_loads,loop1_num_forward_contiguous_stores,loop1_num_integer_ops,loop1_num_float_ops,loop1_num_branches,loop1_num_calls,loop1_memory_op_ratio,loop1_contiguous_memory_ops,loop2_trip_count_known,loop2_trip_count,loop2_num_instructions,loop2_num_loads,loop2_num_stores,loop2_num_forward_contiguous_loads,loop2_num_forward_contiguous_stores,loop2_num_integer_ops,loop2_num_float_ops,loop2_num_branches,loop2_num_calls,loop2_memory_op_ratio,loop2_contiguous_memory_ops,loops_adjacent,trip_count_equal,trip_count_ratio,shared_memory_objects,loop1_stores_read_by_loop2,loop2_stores_read_by_loop1,combined_memory_ops,fusion_score,label,prediction,prediction_label,profitable_probability
3mm,0,9,1,800.0,40.0,13.0,4.0,0.0,0.0,7.0,1.0,7.0,0.0,0.425,0.0,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,0,0,0.6666666666666666,1,1,1,43,-1.0,0,0,unprofitable,0.0
gemm,3,11,1,1100.0,27.0,10.0,2.0,3.0,1.0,4.0,1.0,3.0,0.0,0.4444444,4.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,1,1.0,1,1,1,25,4.48,1,1,profitable,0.9933333333333333
3mm,11,17,1,900.0,65.0,24.0,7.0,0.0,0.0,3.0,0.0,11.0,1.0,0.4769231,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.125,1,1,1,49,1.0,0,0,unprofitable,0.006666666666666667
3mm,5,9,1,1200.0,29.0,10.0,2.0,1.0,1.0,6.0,1.0,3.0,0.0,0.4137931,2.0,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,0,1,1.0,1,1,1,38,3.1578947368421053,1,1,profitable,0.9866666666666667
gemm,4,5,1,1200.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1100.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,0,1.0909090909090908,1,1,1,29,5.0,1,1,profitable,0.9433333333333334
2mm,1,6,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,0,0,1.5,1,1,1,29,-1.0,0,0,unprofitable,0.06
jacobi-2d,5,6,1,1300.0,79.0,29.0,4.0,0.0,0.0,8.0,5.0,7.0,0.0,0.4177215,0.0,1,1300.0,67.0,26.0,2.0,0.0,0.0,6.0,5.0,3.0,0.0,0.4179104,0.0,1,1,1.0,1,1,1,61,7.0,1,1,profitable,0.96
gemm,0,2,1,1000.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1200.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,0,0,0.8333333333333334,1,1,1,34,1.0,0,0,unprofitable,0.01
gemm,2,4,1,1200.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1200.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,0,1,1.0,1,1,1,34,3.0,1,1,profitable,0.9366666666666666
jacobi-2d,6,8,1,1300.0,67.0,26.0,2.0,0.0,0.0,6.0,5.0,3.0,0.0,0.4179104,0.0,1,1300.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,1,1.0,1,1,1,41,3.0,1,1,profitable,0.9733333333333334
3mm,2,11,1,900.0,39.0,13.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,0.4358974,2.0,1,900.0,65.0,24.0,7.0,0.0,0.0,3.0,0.0,11.0,1.0,0.4769231,0.0,0,1,1.0,1,1,1,48,3.125,1,1,profitable,0.99
2mm,10,12,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,800.0,56.0,22.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4821429,0.0,0,0,1.375,1,1,1,44,-1.0,0,0,unprofitable,0.01
3mm,9,14,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,1,900.0,65.0,24.0,7.0,0.0,0.0,3.0,0.0,11.0,1.0,0.4769231,0.0,0,0,1.3333333333333333,1,1,1,57,-1.0,0,0,unprofitable,0.006666666666666667
jacobi-2d,5,7,1,1300.0,79.0,29.0,4.0,0.0,0.0,8.0,5.0,7.0,0.0,0.4177215,0.0,1,1300.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,1,1.0,1,1,1,51,3.0,1,1,profitable,0.9666666666666667
jacobi-2d,7,8,1,1300.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,1,1300.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,1,1,1.0,1,1,1,31,7.0,1,1,profitable,0.9933333333333333
jacobi-2d,4,5,1,1298.0,67.0,26.0,2.0,5.0,1.0,6.0,5.0,3.0,0.0,0.4179104,6.0,1,1300.0,79.0,29.0,4.0,0.0,0.0,8.0,5.0,7.0,0.0,0.4177215,0.0,1,0,0.9984615384615384,1,1,1,61,5.295081967213115,1,1,profitable,0.9233333333333333
2mm,5,13,1,1100.0,27.0,10.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.4444444,2.0,1,1100.0,37.0,16.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.4864865,0.0,0,1,1.0,1,1,1,30,4.2,1,1,profitable,0.9966666666666667
2mm,7,12,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,800.0,56.0,22.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4821429,0.0,0,0,1.5,1,1,1,39,-1.0,0,0,unprofitable,0.006666666666666667
3mm,11,13,1,900.0,65.0,24.0,7.0,0.0,0.0,3.0,0.0,11.0,1.0,0.4769231,0.0,1,1000.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,0,0,0.9,1,1,1,48,1.0,0,0,unprofitable,0.006666666666666667
2mm,2,3,1,900.0,39.0,13.0,4.0,1.0,1.0,6.0,1.0,7.0,0.0,0.4358974,2.0,1,800.0,28.0,10.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.4285714,0.0,1,0,1.125,1,1,1,29,5.206896551724139,1,1,profitable,0.9433333333333334
gemm,0,11,1,1000.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,0.9090909090909092,1,1,1,30,1.0,0,0,unprofitable,0.0033333333333333335
jacobi-2d,1,4,1,1298.0,43.0,15.0,3.0,0.0,0.0,3.0,2.0,3.0,2.0,0.4186047,0.0,1,1298.0,67.0,26.0,2.0,5.0,1.0,6.0,5.0,3.0,0.0,0.4179104,6.0,0,1,1.0,1,1,1,46,3.391304347826087,1,1,profitable,0.9633333333333334
3mm,9,11,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,1,900.0,65.0,24.0,7.0,0.0,0.0,3.0,0.0,11.0,1.0,0.4769231,0.0,0,0,1.3333333333333333,1,1,1,57,-1.0,0,0,unprofitable,0.006666666666666667
3mm,0,16,1,800.0,40.0,13.0,4.0,0.0,0.0,7.0,1.0,7.0,0.0,0.425,0.0,1,1000.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,0,0,0.8,1,1,1,34,1.0,0,0,unprofitable,0.006666666666666667
3mm,12,15,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,1,800.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,0,0,1.5,1,1,1,52,-1.0,0,0,unprofitable,0.006666666666666667
2mm,3,9,1,800.0,28.0,10.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.4285714,0.0,1,1200.0,57.0,23.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4912281,0.0,0,0,0.6666666666666666,1,1,1,40,-1.0,0,0,unprofitable,0.06666666666666667
2mm,7,15,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,1200.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,1,1.0,1,1,1,25,4.0,1,1,profitable,0.9966666666666667
atax,1,4,1,2100.0,27.0,10.0,2.0,2.0,1.0,4.0,1.0,3.0,0.0,0.4444444,3.0,1,2100.0,33.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.5151515,0.0,0,1,1.0,1,1,1,29,4.310344827586207,1,1,profitable,0.9933333333333333
gemm,9,11,1,1100.0,37.0,16.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.4864865,0.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,1,1.0,1,1,1,31,3.0,1,1,profitable,0.9833333333333333
atax,1,6,1,2100.0,27.0,10.0,2.0,2.0,1.0,4.0,1.0,3.0,0.0,0.4444444,3.0,1,2100.0,14.0,5.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.5,0.0,0,1,1.0,1,1,1,19,4.473684210526316,1,1,profitable,0.9966666666666667
3mm,1,6,1,1100.0,29.0,10.0,2.0,0.0,0.0,6.0,1.0,3.0,0.0,0.4137931,0.0,1,800.0,39.0,13.0,4.0,0.0,0.0,6.0,1.0,7.0,0.0,0.4358974,0.0,0,0,1.375,1,1,1,29,-1.0,0,0,unprofitable,0.11333333333333333
jacobi-2d,3,8,1,1298.0,79.0,29.0,4.0,0.0,0.0,8.0,5.0,7.0,0.0,0.4177215,0.0,1,1300.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,0.9984615384615384,1,1,1,46,1.0,0,0,unprofitable,0.043333333333333335
2mm,9,12,1,1200.0,57.0,23.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4912281,0.0,1,800.0,56.0,22.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4821429,0.0,0,0,1.5,1,1,1,55,-1.0,0,0,unprofitable,0.0033333333333333335
jacobi-2d,0,2,1,500.0,54.0,18.0,5.0,0.0,0.0,4.0,2.0,7.0,2.0,0.4259259,0.0,1,1298.0,171.0,61.0,11.0,5.0,1.0,17.0,10.0,19.0,0.0,0.4210526,6.0,0,0,0.3852080123266564,1,1,1,95,-0.8105263157894735,0,0,unprofitable,0.07666666666666666
2mm,0,15,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1200.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,0.6666666666666666,1,1,1,30,-1.0,0,0,unprofitable,0.0
2mm,9,11,1,1200.0,57.0,23.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4912281,0.0,1,900.0,67.0,25.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4776119,0.0,0,0,1.3333333333333333,1,1,1,60,-1.0,0,0,unprofitable,0.05
3mm,0,12,1,800.0,40.0,13.0,4.0,0.0,0.0,7.0,1.0,7.0,0.0,0.425,0.0,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,0,0,0.6666666666666666,1,1,1,43,-1.0,0,0,unprofitable,0.0
gemm,0,4,1,1000.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1200.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,0,0,0.8333333333333334,1,1,1,34,1.0,0,0,unprofitable,0.01
2mm,5,10,1,1100.0,27.0,10.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.4444444,2.0,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,0,1,1.0,1,1,1,29,4.206896551724138,1,1,profitable,0.9966666666666667
gemm,3,5,1,1100.0,27.0,10.0,2.0,3.0,1.0,4.0,1.0,3.0,0.0,0.4444444,4.0,1,1100.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,0,1,1.0,1,1,1,24,4.5,1,1,profitable,1.0
jacobi-2d,1,3,1,1298.0,43.0,15.0,3.0,0.0,0.0,3.0,2.0,3.0,2.0,0.4186047,0.0,1,1298.0,79.0,29.0,4.0,0.0,0.0,8.0,5.0,7.0,0.0,0.4177215,0.0,0,1,1.0,1,1,1,51,3.0,1,1,profitable,0.9533333333333334
3mm,7,8,1,900.0,28.0,10.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.4285714,0.0,1,1000.0,65.0,24.0,7.0,1.0,1.0,3.0,0.0,11.0,1.0,0.4769231,2.0,1,0,0.9,1,1,1,43,5.1395348837209305,1,1,profitable,0.9266666666666666
gemm,1,11,1,1100.0,27.0,10.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.4444444,2.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,1,1.0,1,1,1,25,4.24,1,1,profitable,0.9933333333333333
2mm,12,15,1,800.0,56.0,22.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4821429,0.0,1,1200.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,0.6666666666666666,1,1,1,40,-1.0,0,0,unprofitable,0.03
2mm,8,10,1,900.0,68.0,26.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4852941,0.0,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,0,0,0.8181818181818182,1,1,1,50,1.0,0,0,unprofitable,0.006666666666666667
2mm,1,12,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,800.0,56.0,22.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4821429,0.0,0,0,1.5,1,1,1,39,-1.0,0,0,unprofitable,0.006666666666666667
2mm,5,14,1,1100.0,27.0,10.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.4444444,2.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.375,1,1,1,30,-0.7999999999999998,0,0,unprofitable,0.09
2mm,5,12,1,1100.0,27.0,10.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.4444444,2.0,1,800.0,56.0,22.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4821429,0.0,0,0,1.375,1,1,1,39,-0.8461538461538463,0,0,unprofitable,0.10666666666666667
gemm,2,10,1,1200.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1000.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.2,1,1,1,35,1.0,0,0,unprofitable,0.05
2mm,10,11,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,900.0,67.0,25.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4776119,0.0,1,0,1.2222222222222223,1,1,1,49,5.0,1,1,profitable,0.9633333333333334
3mm,14,18,1,900.0,65.0,24.0,7.0,0.0,0.0,3.0,0.0,11.0,1.0,0.4769231,0.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,0.8181818181818182,1,1,1,44,1.0,0,0,unprofitable,0.006666666666666667
3mm,1,15,1,1100.0,29.0,10.0,2.0,0.0,0.0,6.0,1.0,3.0,0.0,0.4137931,0.0,1,800.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,0,0,1.375,1,1,1,38,-1.0,0,0,unprofitable,0.02
atax,5,6,1,2100.0,33.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.5151515,0.0,1,2100.0,14.0,5.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.5,0.0,1,1,1.0,1,1,1,24,8.0,1,1,profitable,0.99
atax,2,4,1,2100.0,19.0,7.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,0.4736842,4.0,1,2100.0,33.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.5151515,0.0,0,1,1.0,1,1,1,26,4.461538461538462,1,1,profitable,1.0
2mm,4,13,1,900.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1100.0,37.0,16.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.4864865,0.0,0,0,0.8181818181818182,1,1,1,35,1.0,0,0,unprofitable,0.0033333333333333335
3mm,0,13,1,800.0,40.0,13.0,4.0,0.0,0.0,7.0,1.0,7.0,0.0,0.425,0.0,1,1000.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,0,0,0.8,1,1,1,34,1.0,0,0,unprofitable,0.006666666666666667
2mm,6,8,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,900.0,68.0,26.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4852941,0.0,0,0,0.8888888888888888,1,1,1,50,1.0,0,0,unprofitable,0.03333333333333333
gemm,0,10,1,1000.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1000.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,1,1.0,1,1,1,35,3.0,1,1,profitable,0.9733333333333334
2mm,6,14,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,1,1.0,1,1,1,35,3.0,1,1,profitable,0.95
2mm,12,13,1,800.0,56.0,22.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4821429,0.0,1,1100.0,37.0,16.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.4864865,0.0,1,0,0.7272727272727273,1,1,1,45,3.0,1,1,profitable,0.94
jacobi-2d,0,1,1,500.0,54.0,18.0,5.0,0.0,0.0,4.0,2.0,7.0,2.0,0.4259259,0.0,1,1298.0,43.0,15.0,3.0,0.0,0.0,3.0,2.0,3.0,2.0,0.4186047,0.0,1,0,0.3852080123266564,1,1,1,41,3.0,1,1,profitable,0.86
2mm,7,14,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.5,1,1,1,30,-1.0,0,0,unprofitable,0.01
3mm,5,6,1,1200.0,29.0,10.0,2.0,1.0,1.0,6.0,1.0,3.0,0.0,0.4137931,2.0,1,800.0,39.0,13.0,4.0,0.0,0.0,6.0,1.0,7.0,0.0,0.4358974,0.0,1,0,1.5,1,1,1,29,3.206896551724138,1,1,profitable,0.8666666666666667
2mm,7,11,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,900.0,67.0,25.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4776119,0.0,0,0,1.3333333333333333,1,1,1,44,-1.0,0,0,unprofitable,0.02666666666666667
2mm,6,9,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1200.0,57.0,23.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4912281,0.0,0,0,0.6666666666666666,1,1,1,45,-1.0,0,0,unprofitable,0.0033333333333333335
3mm,13,16,1,1000.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,1000.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,0,1,1.0,1,1,1,34,3.0,1,1,profitable,0.9133333333333333
2mm,0,10,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,0,0,0.7272727272727273,1,1,1,34,-1.0,0,0,unprofitable,0.0
2mm,4,5,1,900.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1100.0,27.0,10.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.4444444,2.0,1,0,0.8181818181818182,1,1,1,29,5.206896551724139,1,1,profitable,0.9166666666666666
3mm,5,17,1,1200.0,29.0,10.0,2.0,1.0,1.0,6.0,1.0,3.0,0.0,0.4137931,2.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.5,1,1,1,30,-0.7999999999999998,0,0,unprofitable,0.043333333333333335
3mm,1,18,1,1100.0,29.0,10.0,2.0,0.0,0.0,6.0,1.0,3.0,0.0,0.4137931,0.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,1,1.0,1,1,1,25,4.0,1,1,profitable,0.95
2mm,4,11,1,900.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,900.0,67.0,25.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4776119,0.0,0,1,1.0,1,1,1,49,3.0,1,1,profitable,0.98
atax,2,3,1,2100.0,19.0,7.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,0.4736842,4.0,1,1900.0,84.0,35.0,8.0,0.0,0.0,3.0,0.0,11.0,2.0,0.5119048,0.0,1,0,1.105263157894737,1,1,1,52,5.23076923076923,1,1,profitable,0.9433333333333334
2mm,0,3,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,800.0,28.0,10.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.4285714,0.0,0,1,1.0,1,1,1,29,3.0,1,1,profitable,0.91
3mm,5,7,1,1200.0,29.0,10.0,2.0,1.0,1.0,6.0,1.0,3.0,0.0,0.4137931,2.0,1,900.0,28.0,10.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.4285714,0.0,0,0,1.3333333333333333,1,1,1,24,0.25,0,0,unprofitable,0.22666666666666666
gemm,0,6,1,1000.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1000.0,81.0,30.0,9.0,0.0,0.0,4.0,2.0,15.0,1.0,0.4814815,0.0,0,1,1.0,1,1,1,56,3.0,1,1,profitable,0.9766666666666667
